num_episodes,train_info_final_normalized_performance,train_rewards,train_test_episodes,eval_test_rewards,eval_info_final_normalized_performance,eval_info_sum_normalized_performance,train_info_final_performance,eval_info_sum_performance,eval_info_avarage_normalized_performance,train_info_avarage_normalized_performance,train_info_avarage_performance,num_steps,observation_loss,train_info_sum_performance,eval_info_avarage_performance,kl_loss,eval_test_episodes,train_info_sum_normalized_performance,reward_loss,eval_info_final_performance,train_test_rewards
35,0.42635807,-6.866439597308636,30,-6.550590895116329,0.3893459,11.649457,-0.20477292,-6.550591,0.38831523,0.42155662,-0.20648685,1020,1453.5017797851563,-6.1946054,-0.21835302,3.0,60,12.646699,0.02012592853978276,-0.21798511,-6.194605612258116
65,,-5.78293135613203,,,,,,,,,,1890,259.71924255371096,,,3.313892903327942,,,0.010116477678529918,,
95,,-7.120113029579321,,,,,,,,,,2760,118.35749114990234,,,3.539505879878998,,,0.0022578303393675013,,
125,,-5.954187658429146,,,,,,,,,,3630,98.30140640258789,,,3.7595054483413697,,,0.001120961353299208,,
155,,-5.9325707912445065,,,,,,,,,,4500,80.98968551635743,,,3.617512321472168,,,0.00031314037332776936,,
185,,-5.838000617424647,,,,,,,,,,5370,77.54099319458008,,,3.5042594957351683,,,0.0002585765577532584,,
215,,-5.909822919468085,,,,,,,,,,6240,67.67113037109375,,,3.481839759349823,,,0.0001735218063549837,,
245,,-5.849575738608837,,,,,,,,,,7110,64.03074401855469,,,3.4334787154197692,,,0.00012177872777101584,,
275,,-5.927472022672494,,,,,,,,,,7980,61.910160827636716,,,3.3839449977874754,,,9.873082715785131e-05,,
305,,-5.865452078481515,,,,,,,,,,8850,60.11333393096924,,,3.3576282620429994,,,8.694054642546689e-05,,
335,0.45063886,-5.9762870371341705,90,-5.851397154231866,0.4560962,13.60815,-0.19610539,-5.851396,0.45360494,0.44873345,-0.19678555,9720,57.940211639404296,-5.9035664,-0.19504659,3.3624066925048828,120,13.462003,7.896033002907643e-05,-0.19415727,-5.903566396236419
365,,-5.808698690931002,,,,,,,,,,10590,57.72726749420166,,,3.3680824398994447,,,7.293973209016258e-05,,
395,,-5.820423277219136,,,,,,,,,,11460,55.29989139556885,,,3.387246787548065,,,6.146927129520919e-05,,
425,,-5.826721713443598,,,,,,,,,,12330,54.939262046813965,,,3.427301440238953,,,5.984950559650315e-05,,
455,,-5.860117979347706,,,,,,,,,,13200,54.017948951721195,,,3.5015598344802856,,,5.486866270075552e-05,,
485,,-5.902576248844465,,,,,,,,,,14070,54.17232299804687,,,3.5485098600387572,,,6.78078244527569e-05,,
515,,-5.880270996193091,,,,,,,,,,14940,51.75163402557373,,,3.6147542810440063,,,5.6796815333655106e-05,,
545,,-5.742015515267849,,,,,,,,,,15810,50.36375255584717,,,3.6636448740959167,,,4.587566323607461e-05,,
575,,-5.760169950624307,,,,,,,,,,16680,49.690869178771976,,,3.7533390426635744,,,4.499184227825026e-05,,
605,,-5.870567836364111,,,,,,,,,,17550,48.77340110778809,,,3.874239444732666,,,4.3603265803540124e-05,,
635,0.043538354,-9.940101982653141,150,-9.534111633400123,0.08546667,3.2915497,-0.34142798,-9.534113,0.10971834,0.07317045,-0.3308502,18420,47.4573469543457,-9.925508,-0.31780374,3.9521201968193056,180,2.1951141,4.590238928358303e-05,-0.32646084,-9.925506513317426
665,,-5.825208152333896,,,,,,,,,,19290,48.18505729675293,,,4.051095032691956,,,0.0008447748780599795,,
695,,-6.4103307783603665,,,,,,,,,,20160,47.32371925354004,,,4.098715019226074,,,0.0004919722789054504,,
725,,-5.862980595727762,,,,,,,,,,21030,45.92627052307129,,,4.148432977199555,,,0.0006265224417802528,,
755,,-5.858705799281597,,,,,,,,,,21900,45.232048683166504,,,4.195011706352234,,,0.0004127977794996696,,
785,,-5.818921039501826,,,,,,,,,,22770,44.466428680419924,,,4.192751817703247,,,0.0003017371556416038,,
815,,-7.655051155885061,,,,,,,,,,23640,43.84171337127685,,,4.21274828672409,,,0.00025403962848940864,,
845,,-5.98433726131916,,,,,,,,,,24510,43.81953746795654,,,4.239818286895752,,,0.0006056400824309094,,
875,,-6.630663521091143,,,,,,,,,,25380,42.9355668258667,,,4.24429343700409,,,0.0003629506508514169,,
905,,-5.856576928496361,,,,,,,,,,26250,43.12929744720459,,,4.259605898857116,,,0.0004586961191307637,,
935,0.46129888,-5.807997452716033,210,-5.848502389589945,0.45575696,13.616259,-0.19230007,-5.8485026,0.45387524,0.45779955,-0.19354923,27120,42.28408615112305,-5.8064775,-0.19495009,4.2710554933547975,240,13.733984,0.0003254857262072619,-0.19427834,-5.806476939717928
965,,-5.815465214351813,,,,,,,,,,27990,42.00797077178955,,,4.277354822158814,,,0.0003242770634096814,,
995,,-6.005105392138163,,,,,,,,,,28860,41.53457630157471,,,4.263598203659058,,,0.00021704169856093358,,
1025,,-5.972111433247725,,,,,,,,,,29730,41.423116531372074,,,4.261362500190735,,,0.00024911292846809376,,
1055,,-5.86773534466823,,,,,,,,,,30600,41.10985549926758,,,4.254442152976989,,,0.00027721960464987204,,
1085,,-5.833535143236319,,,,,,,,,,31470,40.75758571624756,,,4.2548853254318235,,,0.0002012579575603013,,
1115,,-5.842118793725968,,,,,,,,,,32340,40.404644622802735,,,4.264830393791199,,,0.0002470394538977416,,
1145,,-5.879245120286941,,,,,,,,,,33210,40.25682487487793,,,4.2418054628372195,,,0.00018375850917436764,,
1175,,-5.838134192923705,,,,,,,,,,34080,40.02526466369629,,,4.26312671661377,,,0.000147128857242933,,
1205,,-5.854537493487199,,,,,,,,,,34950,39.90869197845459,,,4.254657783508301,,,0.00014049256009457167,,
1235,0.45135957,-5.846023394167423,270,-5.883573294679324,0.45145518,13.518011,-0.19584812,-5.883573,0.4506004,0.44890398,-0.19672468,35820,38.89199966430664,-5.9017406,-0.19611911,4.230772490501404,300,13.46712,0.00012462323084037053,-0.19581398,-5.901740148663521
1265,,-5.853629873196284,,,,,,,,,,36690,39.24279865264893,,,4.247094259262085,,,0.00014180857990140795,,
1295,,-5.950136967500051,,,,,,,,,,37560,38.56742492675781,,,4.213444390296936,,,0.0001443736855435418,,
