train_info_avarage_neg_fixation_dist,eval_info_avarage_performance,eval_info_sum_normalized_performance,train_test_episodes,eval_info_sum_performance,eval_info_final_neg_fixation_dist,num_episodes,train_info_final_performance,train_info_sum_neg_group_dist,eval_info_sum_neg_fixation_dist,eval_info_avarage_neg_fixation_dist,train_info_final_neg_group_dist,train_info_sum_performance,train_info_final_normalized_performance,eval_info_avarage_normalized_performance,num_steps,eval_info_final_performance,eval_info_final_normalized_performance,eval_test_episodes,reward_loss,train_info_avarage_neg_group_dist,train_info_avarage_performance,eval_info_avarage_neg_group_dist,eval_info_sum_neg_group_dist,eval_test_rewards,eval_info_final_neg_group_dist,train_info_sum_normalized_performance,train_info_avarage_normalized_performance,train_test_rewards,train_info_final_neg_fixation_dist,kl_loss,train_info_sum_neg_fixation_dist,observation_loss,train_rewards
-0.043786686,-0.31062898,-18.334835,9,-31.062897,-0.11990571,14,-0.3379309,-24.246513,-5.5711637,-0.055711634,-0.23324405,-29.500916,-0.28735578,-0.18334836,1391,-0.3782728,-0.441039,18,0.003906255501206033,-0.24246514,-0.29500917,-0.24377501,-24.377499,-31.062896295041405,-0.2343859,-12.384435,-0.12384435,-29.50091622979636,-0.08723906,3.3599135947227476,-4.378669,1950.7779479980468,-28.561283504401956
,,,,,,23,,,,,,,,,2282,,,,0.0005633127397595672,,,,,,,,,,,5.460295617580414,,581.4122012329102,-48.55201611217363
,,,,,,32,,,,,,,,,3173,,,,0.003124723216169514,,,,,,,,,,,7.327124934196473,,404.9808013916016,-32.19125362664798
,,,,,,41,,,,,,,,,4064,,,,0.0005080488382373005,,,,,,,,,,,7.708469514846802,,300.819022064209,-30.41364741044407
,,,,,,50,,,,,,,,,4955,,,,0.0002813904060894856,,,,,,,,,,,7.607004714012146,,252.40941696166993,-31.4774613472088
,,,,,,59,,,,,,,,,5846,,,,0.0003184550092555583,,,,,,,,,,,7.8118106508255005,,232.727599029541,-27.667416729555285
,,,,,,68,,,,,,,,,6737,,,,0.00017849072442913894,,,,,,,,,,,7.7314318084716795,,200.0670881652832,-28.311265456457274
,,,,,,77,,,,,,,,,7628,,,,0.00025618514948291707,,,,,,,,,,,8.433222379684448,,190.21282730102538,-28.44425801003817
,,,,,,86,,,,,,,,,8519,,,,0.0001955303639988415,,,,,,,,,,,8.181376547813416,,175.93647109985352,-31.588175635271227
,,,,,,95,,,,,,,,,9410,,,,0.0003243306846707128,,,,,,,,,,,8.467704172134399,,184.26273422241212,-27.45284278172483
-0.07088614,-0.30800456,-17.33506,27,-30.800455,-0.06818323,104,-0.32217056,-21.957346,-6.370618,-0.06370617,-0.21307403,-30.463684,-0.22731632,-0.1733506,10301,-0.31224197,-0.18949312,36,0.00018209521193057298,-0.21957347,-0.30463684,-0.23155715,-23.155714,-30.800455653370257,-0.2304221,-16.052122,-0.16052124,-30.463684365292195,-0.09091377,8.290527710914612,-7.088615,157.0749317932129,-30.414146275763837
,,,,,,113,,,,,,,,,11192,,,,0.00016956624458543956,,,,,,,,,,,8.187585921287537,,159.4814611816406,-27.5338584292139
,,,,,,122,,,,,,,,,12083,,,,0.00014208886612323112,,,,,,,,,,,8.254475555419923,,149.98978958129882,-30.577695931795056
,,,,,,131,,,,,,,,,12974,,,,0.000511271094874246,,,,,,,,,,,8.233413677215577,,149.7710627746582,-22.35681022802058
,,,,,,140,,,,,,,,,13865,,,,0.00021209062237176113,,,,,,,,,,,8.114970564842224,,146.12055236816406,-21.724993776247015
,,,,,,149,,,,,,,,,14756,,,,0.00015931853733491152,,,,,,,,,,,8.028080282211304,,142.3745207977295,-24.853998606060056
,,,,,,158,,,,,,,,,15647,,,,0.00015699343115556984,,,,,,,,,,,7.860435767173767,,145.60366813659667,-20.821876942390492
,,,,,,167,,,,,,,,,16538,,,,0.00014700296429509763,,,,,,,,,,,7.7629843425750735,,139.61922317504883,-19.074748439252417
,,,,,,176,,,,,,,,,17429,,,,0.00012971899879630656,,,,,,,,,,,7.588214244842529,,134.04556602478027,-19.354813607175757
,,,,,,185,,,,,,,,,18320,,,,0.0001629538367706118,,,,,,,,,,,7.7103631925582885,,138.04880424499513,-19.117374239833143
